City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Hilo,US,69.24,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
7,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
9,Tiruchchendur,IN,79.45,broken clouds,8.4833,78.1167,Hotel Udhayam International
11,Rawson,AR,68.92,clear sky,-43.3002,-65.1023,Hosteria Sampedro
14,Campos Novos,BR,65.5,overcast clouds,-27.4017,-51.225,Hotel Corujão - Campos Novos
17,Castro,BR,65.89,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
24,Cabedelo,BR,79.47,few clouds,-6.9811,-34.8339,Hotel Pigalle
25,Kaabong,UG,65.12,few clouds,3.4836,34.1492,Rock Motel Ltd
26,Bengkulu,ID,75.27,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
28,East London,ZA,68.88,light rain,-33.0153,27.9116,Tu Casa
32,Linguere,SN,79.02,clear sky,15.3953,-15.1193,AYO Casablanca
34,Usoke,TZ,72.99,overcast clouds,-5.1667,32.35,
36,Hithadhoo,MV,81.27,overcast clouds,-0.6,73.0833,Scoop Guest House
37,Gat,IL,65.39,overcast clouds,31.61,34.7642,OlusHome
38,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
42,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
43,Rikitea,PF,76.32,broken clouds,-23.1203,-134.9692,People ThankYou
46,Geraldton,AU,79.12,clear sky,-28.7667,114.6,Broadwater Mariner Resort
48,San Miguel,SV,81.05,broken clouds,13.4833,-88.1833,Hotel Tropico Inn San Miguel
49,Kyaukse,MM,68.41,overcast clouds,21.6,96.1333,Shwe Thit Sar Guesthouse
51,Abu Zabad,SD,73.2,clear sky,12.35,29.25,حامد محمد نور
52,Ponta Do Sol,PT,66.83,overcast clouds,32.6667,-17.1,Hotel do Campo
53,Kapaa,US,73.72,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
54,La Vega,DO,75.56,scattered clouds,19.2221,-70.5296,Hotel Rey
59,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
60,Muisne,EC,75.04,overcast clouds,0.6,-80.0333,Quinta Samay
61,Puerto Ayora,EC,69.89,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
74,Yulara,AU,67.84,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
75,Kiama,AU,66.38,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
80,Atuona,PF,78.44,clear sky,-9.8,-139.0333,Villa Enata
82,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
