City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tura,IN,2021-11-28 00-58-00,25.5198,90.2201,58.98,74,38,3.13
1,Srandakan,ID,2021-11-28 00-58-01,-7.9386,110.2506,76.93,88,100,4.7
2,Port Alfred,ZA,2021-11-28 00-58-02,-33.5906,26.891,66.07,71,96,9.82
3,Kailua,US,2021-11-28 00-58-03,21.4022,-157.7394,80.58,69,0,6.64
4,Kodiak,US,2021-11-28 00-55-14,57.79,-152.4072,14.5,75,64,12.46
5,Payo,ID,2021-11-28 00-58-04,-3.7508,103.6372,73.99,73,100,1.86
6,Nipawin,CA,2021-11-28 00-58-04,53.3668,-104.0009,23.04,63,1,11.5
7,Qaanaaq,GL,2021-11-28 00-52-27,77.484,-69.3632,-0.54,98,98,1.9
8,Aparecida Do Taboado,BR,2021-11-28 00-58-05,-20.0867,-51.0936,81.03,49,57,2.64
9,Kaitangata,NZ,2021-11-28 00-56-28,-46.2817,169.8464,61.39,54,0,7.4
10,Butaritari,KI,2021-11-28 00-48-09,3.0707,172.7902,82.29,72,50,18.41
11,Xuddur,SO,2021-11-28 00-58-06,4.1213,43.8894,71.28,92,12,10.11
12,Labuhan,ID,2021-11-28 00-57-54,-6.8844,112.2051,79.59,77,100,9.78
13,Vaini,TO,2021-11-28 00-52-28,-21.2,-175.2,84.36,84,75,13.8
14,Acari,PE,2021-11-28 00-58-08,-15.4311,-74.6158,69.76,77,100,3.71
15,Dikson,RU,2021-11-28 00-52-15,73.5069,80.5464,-12.93,97,100,9.01
16,Pindushi,RU,2021-11-28 00-58-08,62.9152,34.58,15.53,88,100,8.23
17,Albany,US,2021-11-28 00-52-22,42.6001,-73.9662,27.25,66,5,8.95
18,Yanam,IN,2021-11-28 00-58-09,16.7333,82.2167,75.6,82,100,9.01
19,Ancud,CL,2021-11-28 00-58-09,-41.8697,-73.8203,54.93,73,12,9.4
20,Broken Hill,AU,2021-11-28 00-55-00,-31.95,141.4333,71.31,46,40,13.8
21,Bethel,US,2021-11-28 00-51-13,41.3712,-73.414,34.38,47,1,4.61
22,Yar-Sale,RU,2021-11-28 00-56-31,66.8333,70.8333,-0.27,96,92,10.51
23,Milici,BA,2021-11-28 00-57-03,44.1711,19.0903,42.17,90,100,3.98
24,Aloleng,PH,2021-11-28 00-58-10,16.1307,119.7824,84.47,65,52,10.69
25,Rikitea,PF,2021-11-28 00-52-13,-23.1203,-134.9692,76.6,73,24,15.68
26,Garachine,PA,2021-11-28 00-58-11,8.0647,-78.3628,78.3,86,100,2.01
27,Codrington,AU,2021-11-28 00-55-09,-38.2667,141.9667,65.59,52,0,9.73
